Prefix,Input_text,Target_text
webNLG,Aniket Choudhary|Warner|FOUR,"Aniket Choudhary to Warner, FOUR, smashed, width on offer from"
webNLG,Aniket Choudhary|Warner|SIX,"Aniket Choudhary to Warner, SIX, .. and Warner makes the"
webNLG,Aniket Choudhary|Warner|OUT,"Aniket Choudhary to Warner, out Caught by Mandeep!! The night"
webNLG,Binny|Dhawan|FOUR,"Binny to Dhawan, FOUR, oh boy. He's toying around with"
webNLG,Binny|Dhawan|OUT,"Binny to Dhawan, out Caught by Sachin Baby!! This was"
webNLG,Aravind|Yuvraj|FOUR,"Aravind to Yuvraj, FOUR, here's the pick up. Vintage Yuvraj."
webNLG,Aniket Choudhary|Yuvraj|FOUR,"Aniket Choudhary to Yuvraj, FOUR, streaky. But the runs keeps"
webNLG,Aniket Choudhary|Yuvraj|SIX,"Aniket Choudhary to Yuvraj, SIX, whoa. This is getting back"
webNLG,Aniket Choudhary|Yuvraj|FOUR,"Aniket Choudhary to Yuvraj, FOUR, and it keeps getting better."
webNLG,Aniket Choudhary|Yuvraj|ONE,"Aniket Choudhary to Yuvraj, 1 run, oh Aravind. You really"
webNLG,Watson|Yuvraj|FOUR,"Watson to Yuvraj, FOUR, back to the usual. Is this"
webNLG,Aravind|Henriques|FOUR,"Aravind to Henriques, FOUR, on the charge. And the slap."
webNLG,Aravind|Yuvraj|SIX,"Aravind to Yuvraj, SIX, into the first tier. And a"
webNLG,Aravind|Henriques|SIX,"Aravind to Henriques, SIX, now Henriques joins the act. Wants"
webNLG,Chahal|Henriques|OUT,"Chahal to Henriques, out Caught by Sachin Baby!! Some normalcy"
webNLG,Chahal|Yuvraj|ONE,"Chahal to Yuvraj, 1 run, is that a bird? Is"
webNLG,Tymal Mills|Yuvraj|FOUR,"Tymal Mills to Yuvraj, FOUR, head on. The battle continues."
webNLG,Aniket Choudhary|Deepak Hooda|SIX,"Aniket Choudhary to Deepak Hooda, SIX, the march to the"
webNLG,Aniket Choudhary|Yuvraj|FOUR,"Aniket Choudhary to Yuvraj, FOUR, a salute in celebration. Takes"
webNLG,Tymal Mills|Yuvraj|FOUR,"Tymal Mills to Yuvraj, FOUR, full, down leg. Nothing right"
webNLG,Tymal Mills|Yuvraj|SIX,"Tymal Mills to Yuvraj, SIX, the murder continues. Mass murder."
webNLG,Tymal Mills|Yuvraj|OUT,"Tymal Mills to Yuvraj, out Bowled!! The zings light up."
webNLG,Watson|Cutting|SIX,"Watson to Cutting, SIX, the yorkers too cannot stop the"
webNLG,Aniket Choudhary|Henriques|FOUR,"Aniket Choudhary to Henriques, FOUR, eventful first over from Choudhary,"
webNLG,Watson|Cutting|SIX,"Watson to Cutting, SIX, a dramatic photo finish. Watson tries"
webNLG,Chahal|Henriques|ONE,"Chahal to Henriques, 1 run, a direct hit at the"
webNLG,Aravind|Henriques|FOUR,"Aravind to Henriques, FOUR, too short from Aravind, can't bowl"
webNLG,Watson|Dhawan|FOUR,"Watson to Dhawan, FOUR, gentle loosener from Watson, short and"
webNLG,Watson|Dhawan|FOUR,"Watson to Dhawan, FOUR, lovely shot, Dhawan is getting into"
webNLG,Watson|Dhawan|FOUR,"Watson to Dhawan, FOUR, juicy full-toss and Dhawan has put"
webNLG,Watson|Dhawan|FOUR,"Watson to Dhawan, FOUR, make that four fours of the"
webNLG,Head|Henriques|SIX,"Head to Henriques, SIX, massive, Henriques shimmies down the track,"
webNLG,Dinda|Parthiv Patel|FOUR,"Dinda to Parthiv Patel, FOUR, thank you Dinda says Parthiv"
webNLG,Chahar|Buttler|FOUR,"Chahar to Buttler, FOUR, length ball outside off and Buttler"
webNLG,Chahar|Buttler|FOUR,"Chahar to Buttler, FOUR, shuffles across and flicks a ball"
webNLG,Zampa|Nitish Rana|FOUR,"Zampa to Nitish Rana, FOUR, Zampa not getting the googly"
webNLG,R Bhatia|Rayudu|OUT,"R Bhatia to Rayudu, out Caught&Bowled!! Thank You! A typical"
webNLG,Stokes|Nitish Rana|SIX,"Stokes to Nitish Rana, SIX, Stokes would be proud of"
webNLG,R Bhatia|Krunal Pandya|OUT,"R Bhatia to Krunal Pandya, out Caught by Dhoni!! First"
webNLG,Tahir|Pollard|FOUR,"Tahir to Pollard, FOUR, Pollard welcomes him with a thumping"
webNLG,Zampa|Pollard|FOUR,"Zampa to Pollard, FOUR, Pollard goes downtown once more and"
webNLG,Zampa|Nitish Rana|OUT,"Zampa to Nitish Rana, out Caught by R Bhatia!! Bhatia"
webNLG,Tahir|Pollard|SIX,"Tahir to Pollard, SIX, Tahir shouted ""catch it"" and there"
webNLG,Dinda|Pollard|NO RUN,"Dinda to Pollard, no run, was that a drop? Need"
webNLG,Dinda|Pollard|FOUR,"Dinda to Pollard, FOUR, unlucky and Dinda have been synonyms"
webNLG,Stokes|Pollard|OUT,"Stokes to Pollard, out Caught by Mayank Agarwal!! Stokes gets"
webNLG,Stokes|Southee|SIX,"Stokes to Southee, SIX, Southee nails this. He should have"
webNLG,Dinda|Hardik Pandya|SIX,"Dinda to Hardik Pandya, SIX, consecutive sixes for MI. Dinda"
webNLG,Dinda|Hardik Pandya|SIX,"Dinda to Hardik Pandya, SIX, Dinda attains normal services. Three"
webNLG,Dinda|Hardik Pandya|SIX,"Dinda to Hardik Pandya, SIX, make it four in a"
webNLG,Dinda|Hardik Pandya|FOUR,"Dinda to Hardik Pandya, FOUR, four more. Already 22 off"
webNLG,Dinda|Hardik Pandya|SIX,"Dinda to Hardik Pandya, SIX, Smith has a worried look"
webNLG,Dinda|Parthiv Patel|FOUR,"Dinda to Parthiv Patel, FOUR, sat up on a perfect"
webNLG,Dinda|Parthiv Patel|FOUR,"Dinda to Parthiv Patel, FOUR, this pitch is a belter,"
webNLG,Dinda|Hardik Pandya|WIDE,"Dinda to Hardik Pandya, wide, out Southee Run Out!! Where"
webNLG,Dinda|Parthiv Patel|ONE,"Dinda to Parthiv Patel, 1 run, dropped by Bhatia. A"
webNLG,Stokes|Buttler|SIX,"Stokes to Buttler, SIX, for the first time this over,"
webNLG,Stokes|Buttler|SIX,"Stokes to Buttler, SIX, Stokes turns back and smiles. That's"
webNLG,Tahir|Parthiv Patel|FOUR,"Tahir to Parthiv Patel, FOUR, floated full on leg-stump, Parthiv"
webNLG,Tahir|Parthiv Patel|OUT,"Tahir to Parthiv Patel, out Bowled!! Knocked him over. Tahir"
webNLG,Chahar|Buttler|FOUR,"Chahar to Buttler, FOUR, gives himself a lot of room"
webNLG,Chahar|Buttler|SIX,"Chahar to Buttler, SIX, that's gone flying into the stands."
webNLG,Tahir|Rohit|OUT,"Tahir to Rohit, out Bowled!! And again, Imran Tahir is"
webNLG,Tahir|Buttler|OUT,"Tahir to Buttler, out Lbw!! Inside-edge onto pad, but doesn't"
webNLG,Stokes|Rayudu|ONE,"Stokes to Rayudu, 1 run, direct hit and Rayudu was"
webNLG,Zampa|Nitish Rana|SIX,"Zampa to Nitish Rana, SIX, half-tracker and gone! Lovely swivel-pull"
webNLG,Southee|Mayank Agarwal|FOUR,"Southee to Mayank Agarwal, FOUR, edged and four, streaky but"
webNLG,Hardik Pandya|Rahane|FOUR,"Hardik Pandya to Rahane, FOUR, he's peirced the gap to"
webNLG,Hardik Pandya|Rahane|FOUR,"Hardik Pandya to Rahane, FOUR, edged and four, on a"
webNLG,Hardik Pandya|Rahane|FOUR,"Hardik Pandya to Rahane, FOUR, lovely shot, on a good"
webNLG,Southee|Rahane|OUT,"Southee to Rahane, out Caught by Nitish Rana!! A slight"
webNLG,Bumrah|Stokes|FOUR,"Bumrah to Stokes, FOUR, heaves the pull away over mid-wicket."
webNLG,McClenaghan|Smith|FOUR,"McClenaghan to Smith, FOUR, plants his back foot at least"
webNLG,McClenaghan|Smith|FOUR,"McClenaghan to Smith, FOUR, that will run away. McClenaghan strays"
webNLG,McClenaghan|Smith|ONE,"McClenaghan to Smith, 1 run, dropped! It's Nitish Rana in"
webNLG,Pollard|Smith|FOUR,"Pollard to Smith, FOUR, oh poor ball. A short of"
webNLG,Pollard|Smith|SIX,"Pollard to Smith, SIX, it's not working. Smith is just"
webNLG,Southee|Stokes|FOUR,"Southee to Stokes, FOUR, he's absolutely crashed this through extra-cover."
webNLG,Southee|Smith|TWO,"Southee to Smith, 2 runs, fifty for Smith. This guy,"
webNLG,Hardik Pandya|Stokes|FOUR,"Hardik Pandya to Stokes, FOUR, rare error in the field"
webNLG,Hardik Pandya|Stokes|OUT,"Hardik Pandya to Stokes, out Caught by Southee!! Another miscue,"
webNLG,Bumrah|Smith|FOUR,"Bumrah to Smith, FOUR, how good is he! Susses out"
webNLG,McClenaghan|Smith|FOUR,"McClenaghan to Smith, FOUR, that's been dragged all the way"
webNLG,Bumrah|Dhoni|FOUR,"Bumrah to Dhoni, FOUR, there we go. Dhoni isn't to"
webNLG,Bumrah|Dhoni|ONE,"Bumrah to Dhoni, 1 run, dropped! An absolute sitter put"
webNLG,Pollard|Smith|SIX,"Pollard to Smith, SIX, going, going, gone... Is there anything"
webNLG,Pollard|Smith|SIX,"Pollard to Smith, SIX, he's done it. A couple of"
webNLG,Southee|Rahane|SIX,"Southee to Rahane, SIX, Rahane is looking in good touch,"
webNLG,Southee|Rahane|FOUR,"Southee to Rahane, FOUR, cracking shot, on a good length"
webNLG,McClenaghan|Mayank Agarwal|OUT,"McClenaghan to Mayank Agarwal, out Caught by Rohit!! Soft dimissal"
webNLG,McClenaghan|Smith|FOUR,"McClenaghan to Smith, FOUR, clubbed, made a great noise as"
webNLG,McClenaghan|Rahane|SIX,"McClenaghan to Rahane, SIX, that's easy pickings for Rahane, width"
webNLG,McClenaghan|Rahane|FOUR,"McClenaghan to Rahane, FOUR, lovely, this is exquisite cricket from"
webNLG,Krunal Pandya|Smith|FOUR,"Krunal Pandya to Smith, FOUR, cracking shot, short and wide"
webNLG,Hardik Pandya|Rahane|FOUR,"Hardik Pandya to Rahane, FOUR, fifty for Rahane. This was"
webNLG,Krunal Pandya|Rahane|SIX,"Krunal Pandya to Rahane, SIX, stunning bit of timing from"
webNLG,Boult|Roy|FOUR,"Boult to Roy, FOUR, cracking shot, Roy is off and"
webNLG,Boult|Roy|FOUR,"Boult to Roy, FOUR, nicely played by Roy, width on"
webNLG,Chawla|Roy|FOUR,"Chawla to Roy, FOUR, lovely, the reverse sweep in full"
webNLG,Kuldeep Yadav|Finch|OUT,"Kuldeep Yadav to Finch, out Caught by Suryakumar Yadav!! Second"
webNLG,Boult|Raina|FOUR,"Boult to Raina, FOUR, a well-controlled pull shot from Raina."
webNLG,Narine|Karthik|FOUR,"Narine to Karthik, FOUR, Pandey tried his best, but the"
webNLG,Chawla|Raina|TWO,"Chawla to Raina, 2 runs, in no man's land. The"
webNLG,Narine|Karthik|FOUR,"Narine to Karthik, FOUR, for the umpteenth time today Narine"
webNLG,Kuldeep Yadav|Raina|TWO,"Kuldeep Yadav to Raina, 2 runs, comedy of errors. First"
webNLG,Chawla|Raina|ONE,"Chawla to Raina, 1 run, fifty for Raina. 29th in"
webNLG,Chawla|Raina|ONE,"Chawla to Raina, 1 run, dropped! Would you believe it?"
webNLG,Chawla|Karthik|SIX,"Chawla to Karthik, SIX, ends the over with a maximum."
webNLG,Boult|Raina|ONE,"Boult to Raina, 1 run, Raina backs away and Boult"
webNLG,Boult|Raina|FOUR,"Boult to Raina, FOUR, it is all going Raina's way."
webNLG,Boult|Karthik|FOUR,"Boult to Karthik, FOUR, Boult misses the yorker and Karthik"
webNLG,Woakes|Raina|ONE,"Woakes to Raina, 1 run, Raina and Woakes collide. Short"
webNLG,Woakes|Karthik|SIX,"Woakes to Karthik, SIX, Karthik picked the bones out of"
webNLG,Woakes|Karthik|FOUR,"Woakes to Karthik, FOUR, Karthik is playing a blinder here."
webNLG,Woakes|Raina|FOUR,"Woakes to Raina, FOUR, 16 runs off the over and"
webNLG,Boult|Karthik|FOUR,"Boult to Karthik, FOUR, off-pace delivery and once more Karthik"
webNLG,Boult|Karthik|FOUR,"Boult to Karthik, FOUR, Karthik does a ABD. The reverse"
webNLG,Boult|Karthik|OUT,"Boult to Karthik, out Caught by Suryakumar Yadav!! A fine"
webNLG,Narine|Brendon McCullum|FOUR,"Narine to Brendon McCullum, FOUR, that's a shocker from Kuldeep"
webNLG,Boult|Raina|FOUR,"Boult to Raina, FOUR, Raina finishes off in style. Very"
webNLG,Chawla|Roy|OUT,"Chawla to Roy, out Caught by Y Pathan!! Roy falls"
webNLG,Chawla|Brendon McCullum|SIX,"Chawla to Brendon McCullum, SIX, massive, tossed up nicely by"
webNLG,Narine|Brendon McCullum|FOUR,"Narine to Brendon McCullum, FOUR, cracking shot, poor ball from"
webNLG,Narine|Brendon McCullum|FOUR,"Narine to Brendon McCullum, FOUR, Narine has been too short"
webNLG,Woakes|Raina|FOUR,"Woakes to Raina, FOUR, nicely played! Fraction fuller and on"
webNLG,Woakes|Raina|FOUR,"Woakes to Raina, FOUR, this is excellent cricket from Raina,"
webNLG,Woakes|Raina|TWO,"Woakes to Raina, 2 runs, that will go down as"
webNLG,Kuldeep Yadav|Brendon McCullum|FOUR,"Kuldeep Yadav to Brendon McCullum, FOUR, Kuldeep can't afford to"
webNLG,Kuldeep Yadav|Brendon McCullum|SIX,"Kuldeep Yadav to Brendon McCullum, SIX, McCullum is in some"
webNLG,Woakes|Raina|FOUR,"Woakes to Raina, FOUR, that ruins the over for Woakes,"
webNLG,Kuldeep Yadav|Brendon McCullum|OUT,"Kuldeep Yadav to Brendon McCullum, out Lbw!! Kuldeep has his"
webNLG,Y Pathan|Finch|SIX,"Y Pathan to Finch, SIX, Finch gets going with a"
webNLG,Y Pathan|Finch|SIX,"Y Pathan to Finch, SIX, back-to-back sixes from Finch, flighted"
webNLG,P Kumar|Chris Lynn|FOUR,"P Kumar to Chris Lynn, FOUR, just goes through with"
webNLG,D Kulkarni|Chris Lynn|SIX,"D Kulkarni to Chris Lynn, SIX, that's the Chris Lynn"
webNLG,D Kulkarni|Gambhir|FOUR,"D Kulkarni to Gambhir, FOUR, stand and deliver! Half-volley in"
webNLG,Shadab Jakati|Gambhir|ONE,"Shadab Jakati to Gambhir, 1 run, advances and compiles a"
webNLG,Gony|Gambhir|FOUR,"Gony to Gambhir, FOUR, both of them have just played"
webNLG,Gony|Gambhir|FOUR,"Gony to Gambhir, FOUR, really ordinary bowling. It's a gentle"
webNLG,Gony|Gambhir|FOUR,"Gony to Gambhir, FOUR, awful from Gony. He bangs it"
webNLG,Shadab Jakati|Gambhir|FOUR,"Shadab Jakati to Gambhir, FOUR, down the track in a"
webNLG,P Kumar|Gambhir|ONE,"P Kumar to Gambhir, 1 run, bowls it short from"
webNLG,Shivil|Chris Lynn|SIX,"Shivil to Chris Lynn, SIX, way too many half-trackers from"
webNLG,D Kulkarni|Chris Lynn|SIX,"D Kulkarni to Chris Lynn, SIX, that about sums their"
webNLG,D Kulkarni|Chris Lynn|FOUR,"D Kulkarni to Chris Lynn, FOUR, short of length, probably"
webNLG,D Kulkarni|Chris Lynn|SIX,"D Kulkarni to Chris Lynn, SIX, flat, strong, six! Kulkarni"
webNLG,Gony|Gambhir|FOUR,"Gony to Gambhir, FOUR, that's spanked! The open stance helps"
webNLG,Gony|Chris Lynn|FOUR,"Gony to Chris Lynn, FOUR, Chris Lynn and his golf"
webNLG,Gony|Chris Lynn|SIX,"Gony to Chris Lynn, SIX, boy, has he nailed it!"
webNLG,Shivil|Gambhir|FOUR,"Shivil to Gambhir, FOUR, rank long hop, Gambhir says thank"
webNLG,Shivil|Chris Lynn|FOUR,"Shivil to Chris Lynn, FOUR, too much width gestures Raina"
webNLG,D Kulkarni|Gambhir|FOUR,"D Kulkarni to Gambhir, FOUR, 50-partnership. Clears his front leg"
webNLG,Shivil|Gambhir|FOUR,"Shivil to Gambhir, FOUR, Shivil Koushik isn't learning. Keeps landing"
webNLG,Shivil|Gambhir|FOUR,"Shivil to Gambhir, byes, FOUR, keeps low and nutmegs DK,"
webNLG,Shivil|Gambhir|FOUR,"Shivil to Gambhir, FOUR, sits on one knee and chips"
webNLG,Shivil|Gambhir|FOUR,"Shivil to Gambhir, FOUR, outside edge and four! Opens the"
webNLG,Shivil|Gambhir|FOUR,"Shivil to Gambhir, FOUR, make that 20 off the over."
webNLG,Dwayne Smith|Chris Lynn|SIX,"Dwayne Smith to Chris Lynn, SIX, if that ball had"
webNLG,Dwayne Smith|Chris Lynn|FOUR,"Dwayne Smith to Chris Lynn, FOUR, stands tall in the"
webNLG,Dwayne Smith|Chris Lynn|SIX,"Dwayne Smith to Chris Lynn, SIX, in his zone and"
webNLG,Dwayne Smith|Chris Lynn|SIX,"Dwayne Smith to Chris Lynn, SIX, the onslaught continues... Full"
webNLG,Dwayne Smith|Chris Lynn|ONE,"Dwayne Smith to Chris Lynn, 1 run, slower length ball"
webNLG,Shadab Jakati|Gambhir|TWO,"Shadab Jakati to Gambhir, 2 runs, short ball on middle,"
webNLG,Shivil|Chris Lynn|FOUR,"Shivil to Chris Lynn, FOUR, Shivil Koushik's night keeps getting"
webNLG,Dinda|Amla|FOUR,"Dinda to Amla, FOUR, edged and four! Streaky way to"
webNLG,Christian|Vohra|FOUR,"Christian to Vohra, FOUR, shot! Uses the width outside off"
webNLG,Rahul Chahar|Axar|SIX,"Rahul Chahar to Axar, SIX, goes for the big whammy"
webNLG,Rahul Chahar|Amla|OUT,"Rahul Chahar to Amla, out Caught by Stokes!! The young"
webNLG,Tahir|Axar|OUT,"Tahir to Axar, out Caught&Bowled!! Looks to go for the"
webNLG,Rahul Chahar|Maxwell|SIX,"Rahul Chahar to Maxwell, SIX, MAAMMAAAMIAAAHH! The Big Show has"
webNLG,R Bhatia|Maxwell|FOUR,"R Bhatia to Maxwell, FOUR, backs away and then the"
webNLG,R Bhatia|Miller|SIX,"R Bhatia to Miller, SIX, slower ball, doesn't matter. That"
webNLG,Stokes|Maxwell|FOUR,"Stokes to Maxwell, FOUR, PHHUUUUFFFFF! Such power. He bulldozes that"
webNLG,Stokes|Maxwell|SIX,"Stokes to Maxwell, SIX, backs away by clearing his legs"
webNLG,Tahir|Maxwell|SIX,"Tahir to Maxwell, SIX, 50 for the combo! That was"
webNLG,Tahir|Maxwell|SIX,"Tahir to Maxwell, SIX, the most powerful delivery boy is"
webNLG,Dinda|Miller|SIX,"Dinda to Miller, SIX, has that gone all the way?"
webNLG,Stokes|Miller|FOUR,"Stokes to Miller, FOUR, short ball and the swivelled pull."
webNLG,Christian|Amla|FOUR,"Christian to Amla, FOUR, 13 off the over after bowling"
webNLG,Dinda|Vohra|SIX,"Dinda to Vohra, SIX, that has been slapped! Short of"
webNLG,Dinda|Vohra|OUT,"Dinda to Vohra, out Caught by Manoj Tiwary!! First wicket"
webNLG,Christian|Saha|FOUR,"Christian to Saha, FOUR, nicely done! Shortish delivery outside off,"
webNLG,Christian|Amla|SIX,"Christian to Amla, SIX, Amla is turning it on here"
webNLG,Stokes|Saha|ONE,"Stokes to Saha, 1 run, a very tough chance goes"
webNLG,Stokes|Saha|FOUR,"Stokes to Saha, FOUR, Saha has come out with a"
webNLG,Stokes|Saha|FOUR,"Stokes to Saha, FOUR, four more! Safest shot to play"
webNLG,Tahir|Saha|OUT,"Tahir to Saha, out Bowled!! Tahir strikes! And he is"
webNLG,Tahir|Axar|FOUR,"Tahir to Axar, FOUR, sloppy from Rajat Bhatia at short"
webNLG,Sandeep Sharma|Mayank Agarwal|OUT,"Sandeep Sharma to Mayank Agarwal, out Bowled!! Cleaned him up!!"
webNLG,Swapnil Singh|Stokes|SIX,"Swapnil Singh to Stokes, SIX, good end to the over."
webNLG,Stoinis|Stokes|FOUR,"Stoinis to Stokes, FOUR, imparts his powers of guiding the"
webNLG,Swapnil Singh|Dhoni|OUT,"Swapnil Singh to Dhoni, out Caught&Bowled!! A tame dismissal. Quite"
webNLG,T Natarajan|Manoj Tiwary|FOUR,"T Natarajan to Manoj Tiwary, FOUR, pure timing. And grace."
webNLG,Axar|Stokes|FOUR,"Axar to Stokes, FOUR, gets a long hop. A rank"
webNLG,Axar|Stokes|SIX,"Axar to Stokes, SIX, and now he lets the off-side"
webNLG,T Natarajan|Manoj Tiwary|SIX,"T Natarajan to Manoj Tiwary, SIX, the wide yorkers. Prove"
webNLG,Stoinis|Stokes|SIX,"Stoinis to Stokes, SIX, he's smoking them in. With a"
webNLG,Stoinis|Manoj Tiwary|FOUR,"Stoinis to Manoj Tiwary, FOUR, they're turning it on. Tiwary"
webNLG,Mohit Sharma|Stokes|ONE,"Mohit Sharma to Stokes, 1 run, clears his front leg"
webNLG,Axar|Stokes|OUT,"Axar to Stokes, out Caught&Bowled!! A smash back. And the"
webNLG,Mohit Sharma|Manoj Tiwary|SIX,"Mohit Sharma to Manoj Tiwary, SIX, in the arc, and"
webNLG,Mohit Sharma|Manoj Tiwary|FOUR,"Mohit Sharma to Manoj Tiwary, FOUR, a real drag down."
webNLG,Sandeep Sharma|Christian|FOUR,"Sandeep Sharma to Christian, FOUR, oh dear. Spots Christian running"
webNLG,Sandeep Sharma|Christian|FOUR,"Sandeep Sharma to Christian, FOUR, more of the same. The"
webNLG,Sandeep Sharma|Christian|SIX,"Sandeep Sharma to Christian, SIX, a switch to over the"
webNLG,Sandeep Sharma|Christian|OUT,"Sandeep Sharma to Christian, out Caught by Maxwell!! Shovels it"
webNLG,Mohit Sharma|Rahane|ONE,"Mohit Sharma to Rahane, 1 run, DROPPED!! The man at"
webNLG,Mohit Sharma|Rahane|SIX,"Mohit Sharma to Rahane, SIX, OLLLLAALLLAAAA! That was some response"
webNLG,Mohit Sharma|Rahane|FOUR,"Mohit Sharma to Rahane, FOUR, opens the face of the"
webNLG,Sandeep Sharma|Smith|FOUR,"Sandeep Sharma to Smith, FOUR, gets the room to free"
webNLG,Sandeep Sharma|Smith|FOUR,"Sandeep Sharma to Smith, FOUR, creates room by going leg-sidish,"
webNLG,T Natarajan|Rahane|OUT,"T Natarajan to Rahane, out Caught by Stoinis!! There you"
webNLG,T Natarajan|Smith|FOUR,"T Natarajan to Smith, FOUR, shot of the day? Shot"
webNLG,Stoinis|Smith|OUT,"Stoinis to Smith, out Caught by Vohra!! HUGEEEEE WICKKKETTTT for"
webNLG,Stanlake|Billings|FOUR,"Stanlake to Billings, FOUR, loose delivery. It's drifting onto the"
webNLG,Stanlake|Samson|FOUR,"Stanlake to Samson, FOUR, that's quite the blooper from Mills"
webNLG,Stanlake|Samson|OUT,"Stanlake to Samson, out Caught by Binny!! Stanlake rushes Samson"
webNLG,Watson|Pant|SIX,"Watson to Pant, SIX, that's a really good short ball"
webNLG,I Abdulla|Pant|FOUR,"I Abdulla to Pant, FOUR, yeah, Abdulla is in a"
webNLG,I Abdulla|Pant|SIX,"I Abdulla to Pant, SIX, now he gets closer to"
webNLG,I Abdulla|Chris Morris|OUT,"I Abdulla to Chris Morris, out Lbw!! The ball slides"
webNLG,Chahal|Brathwaite|OUT,"Chahal to Brathwaite, out Bowled!! Chahal's got him the very"
webNLG,Tymal Mills|Pant|FOUR,"Tymal Mills to Pant, FOUR, Pant keeps stroking them beautifully"
webNLG,Watson|Pat Cummins|FOUR,"Watson to Pat Cummins, FOUR, Watson has erred big-time with"
webNLG,Watson|Pat Cummins|OUT,"Watson to Pat Cummins, out Bowled!! It swings one way,"
webNLG,Tymal Mills|Pant|ONE,"Tymal Mills to Pant, 1 run, beautiful slower ball, it's"
webNLG,Tymal Mills|Pant|SIX,"Tymal Mills to Pant, SIX, Rishabh Pant, you beauty! This"
webNLG,Negi|Pant|OUT,"Negi to Pant, out Bowled!! Negi has done it. That"
webNLG,Negi|Nadeem|OUT,"Negi to Nadeem, out Caught&Bowled!! Negi tosses this up and"
webNLG,Stanlake|Tare|FOUR,"Stanlake to Tare, FOUR, picked away into the leg-side again."
webNLG,Stanlake|Tare|FOUR,"Stanlake to Tare, FOUR, oh well, put the mockers on"
webNLG,I Abdulla|Tare|FOUR,"I Abdulla to Tare, FOUR, that's flown between keeper and"
